# sigil	sigil	type	label	wiki_page
bosstat	bosstat	Outfit	Raiments of the Final Boss	Raiments_of_the_Final_Boss
bowtat	bowtat	Outfit	Bow Tux	Bow_Tux
brimtat	brimtat	Outfit	Blasphemous Bedizenment	Blasphemous_Bedizenment
brogretat	brogretat	Outfit	Brogre Brouture	Brogre_Brouture
bugbear	bugbear	Outfit	Bugbear Costume	Bugbear_Costume
bunny	bunny	Custom	Your custom tattoo!	Tattoo#Custom_Tattoos
c18tat	c18tat	Item	Crimbo tattoo kit	Crimbo_tattoo_kit
canadiatat	canadiatat	Outfit	OK Lumberjack Outfit	OK_Lumberjack_Outfit
class1	class1	Ascension	Seal Clubber	Seal_Clubber
class11	class11	Ascension	Avatar of Boris	Avatar_of_Boris
class11hc	class11hc	Ascension	Avatar of Boris (Hardcore)	Avatar_of_Boris
class12	class12	Ascension	Zombie Master	Zombie_Master
class12hc	class12hc	Ascension	Zombie Master (Hardcore)	Zombie_Master
class14	class14	Ascension	Avatar of Jarlsberg	Avatar_of_Jarlsberg
class14hc	class14hc	Ascension	Avatar of Jarlsberg (Hardcore)	Avatar_of_Jarlsberg
class15	class15	Ascension	Avatar of Sneaky Pete	Avatar_of_Sneaky_Pete
class15hc	class15hc	Ascension	Avatar of Sneaky Pete (Hardcore)	Avatar_of_Sneaky_Pete
class17	class17	Ascension	Actually Ed the Undying	Actually_Ed_the_Undying
class17hc	class17hc	Ascension	Actually Ed the Undying (Hardcore)	Actually_Ed_the_Undying
class18	class18	Ascension	Cow Puncher	Avatar_of_West_of_Loathing
class18hc	class18hc	Ascension	Cow Puncher (Hardcore)	Avatar_of_West_of_Loathing
class19	class19	Ascension	Beanslinger	Avatar_of_West_of_Loathing
class19hc	class19hc	Ascension	Beanslinger (Hardcore)	Avatar_of_West_of_Loathing
class1hc	class1hc	Ascension	Seal Clubber (Hardcore)	Avatar_of_Boris
class1hco	class1hco	Ascension	Seal Clubber (Hardcore Oxygenarian)	Oxygenarian
class2	class2	Ascension	Turtle Tamer	Turtle_Tamer
class20	class20	Ascension	Snake Oiler	Avatar_of_West_of_Loathing
class20hc	class20hc	Ascension	Snake Oiler (Hardcore)	Avatar_of_West_of_Loathing
class23	class23	Ascension	Gelatinous Noob	Gelatinous_Noob
class23hc	class23hc	Ascension	Gelatinous Noob (Hardcore)	Gelatinous_Noob
class2hc	class2hc	Ascension	Turtle Tamer (Hardcore)	Turtle_Tamer
class2hco	class2hco	Ascension	Turtle Tamer (Hardcore Oxygenarian)	Oxygenarian
class3	class3	Ascension	Pastamancer	Pastamancer
class3hc	class3hc	Ascension	Pastamancer (Hardcore)	Pastamancer
class3hco	class3hco	Ascension	Pastamancer (Hardcore Oxygenarian)	Oxygenarian
class4	class4	Ascension	Sauceror	Sauceror
class4hc	class4hc	Ascension	Sauceror (Hardcore)	Sauceror
class4hco	class4hco	Ascension	Sauceror (Hardcore Oxygenarian)	Oxygenarian
class5	class5	Ascension	Disco Bandit	Disco_Bandit
class5hc	class5hc	Ascension	Disco Bandit (Hardcore)	Disco_Bandit
class5hco	class5hco	Ascension	Disco Bandit (Hardcore Oxygenarian)	Oxygenarian
class6	class6	Ascension	Accordion Thief	Accordion_Thief
class6hc	class6hc	Ascension	Accordion Thief (Hardcore)	Accordion_Thief
class6hco	class6hco	Ascension	Accordion Thief (Hardcore Oxygenarian)	Oxygenarian
claytat	claytat	Outfit	Hot Daub Ensemble	Hot_Daub_Ensemble
cliptat	cliptat	Outfit	Paperclippery	Paperclippery
clocktat	clocktat	Outfit	Clockwork Apparatus	Clockwork_Apparatus
clown	clown	Outfit	Terrifying Clown Suit	Terrifying_Clown_Suit
cola1tat	cola1tat	Outfit	Cloaca-Cola Uniform	Cloaca-Cola_Uniform
cola2tat	cola2tat	Outfit	Dyspepsi-Cola Uniform	Dyspepsi-Cola_Uniform
coldgear	coldgear	Outfit	EXtreme Cold-Weather Gear	EXtreme_Cold-Weather_Gear
colhobotat	colhobotat	Outfit	Hyperborean Hobo Habiliments	Hyperborean_Hobo_Habiliments
crayontat	crayontat	Outfit	Wax Wardrobe	Wax_Wardrobe
crimbeard	crimbeard	Outfit	Uncle Hobo's Rags	Uncle_Hobo's_Rags

# The wiki has this file, but nothing links to it.
crimborgtat	crimborgtat	Unknown

cutter	cutter	Custom	Your custom tattoo!	Tattoos#Custom_Tattoos
daisytat	daisytat	Custom	Your custom tattoo!	Tattoos#Custom_Tattoos
datatat	datatat	Item	corrupted data	Corrupted_data
debbietat	debbietat	Item	"DEBBIE" tattoo kit	%22DEBBIE%22_tattoo_kit
demontat	demontat	Item	red-hot medallion	Red-hot_medallion
detbadge	detbadge	Item	detective tattoo	Detective_tattoo
dinseytat	dinseytat	Item	Dinsey tattoo kit	Dinsey_tattoo_kit
dnatat	dnatat	Outfit	Mutant Couture	Mutant_Couture
doubicetat	doubicetat	Outfit	Cold Comforts	Cold_Comforts
ducttat	ducttat	Outfit	Tapered Threads	Tapered_Threads
dv_tat1	dv_tat1	Item	Mark of the Bugbear	Mark_of_the_Bugbear
dv_tat2	dv_tat2	Item	Mark of the Werewolf	Mark_of_the_Werewolf
dv_tat3	dv_tat3	Item	Mark of the Zombie	Mark_of_the_Zombie
dv_tat4	dv_tat4	Item	Mark of the Ghost	Mark_of_the_Ghost
dv_tat5	dv_tat5	Item	Mark of the Vampire	Mark_of_the_Vampire
dv_tat6	dv_tat6	Item	Mark of the Skeleton	Mark_of_the_Skeleton
dvinntat	dvinntat	Item	Official Seal of Dreadsylvania	Official_Seal_of_Dreadsylvania
dvotat1	dvotat1	Outfit	Dreadful Pajamas	Dreadful_Pajamas
dvotat2	dvotat2	Outfit	Dreadful Bugbear Suit	Dreadful_Bugbear_Suit
dvotat3	dvotat3	Outfit	Dreadful Werewolf Suit	Dreadful_Werewolf_Suit
dvotat4	dvotat4	Outfit	Dreadful Zombie Suit	Dreadful_Zombie_Suit
dvotat5	dvotat5	Outfit	Dreadful Ghost Suit	Dreadful_Ghost_Suit
dvotat6	dvotat6	Outfit	Dreadful Skeleton Suit	Dreadful_Skeleton_Suit
dvotat7	dvotat7	Outfit	Dreadful Vampire Suit	Dreadful_Vampire_Suit
dvotat8	dvotat8	Outfit	Cool Irons	Cool_Irons
dwarvish	dwarvish	Outfit	Dwarvish War Uniform	Dwarvish_War_Uniform
eggtat	eggtat	Outfit	Grass Guise	Grass_Guise
elbereth	elbereth	Outfit	Yendorian Finery	Yendorian_Finery

# Misspelled sigil.  May be fixed at some point?
elditchtat	elditchtat	Outfit	Eldritch Equipage	Eldritch_Equipage

eliteguard	eliteguard	Outfit	Knob Goblin Elite Guard Uniform	Knob_Goblin_Elite_Guard_Uniform
elvtat	elvtat	Outfit	El Vibrato Relics	El_Vibrato_Relics
emperortat	emperortat	Outfit	The Emperor's New Clothes	The_Emperor's_New_Clothes
eternaltat	eternaltat	Item	eternal knot tattoo	Eternal_knot_tattoo
fdkoltat	fdkoltat	Item	FDKOL tattoo	FDKOL_tattoo
fibertat	fibertat	Outfit	Fiberglass Finery	Fiberglass_Finery
foilheart	foilheart	Item	Alice's Army Foil tattoo	Alice's_Army_Foil_tattoo
fpmtat	fpmtat	Outfit	Pyrotechnic Paper Paraphernalia	Pyrotechnic_Paper_Paraphernalia
fratboy	fratboy	Outfit	Frat Boy Ensemble	Frat_Boy_Ensemble
frtat	frtat	Item	FantasyRealm tattoo kit	FantasyRealm_tattoo_kit
frtat1	frtat1	Outfit	FantasyRealm Warrior's Outfit	FantasyRealm_Warrior%27s_Outfit
frtat2	frtat2	Outfit	FantasyRealm Wizard's Outfit	FantasyRealm_Wizard%27s_Outfit
frtat3	frtat3	Outfit	FantasyRealm Thief's Outfit	FantasyRealm_Thief%27s_Outfit
gabtat	gabtat	Outfit	Gabardine Guise	Gabardine_Guise
genietat	genietat	Outfit	Genie Garments	Genie_Garments
gingercitytat	gingercitytat	Other	Gingerbread City	Midnight_in_the_Industrial_Zone
gingertat	gingertat	Outfit	Gingerbread Best	Gingerbread_Best
gnaugatat	gnaugatat	Outfit	Gnauga Hides	Gnauga_Hides
gtat	gtat	Item	gattoo	Gattoo
halotat	halotat	Outfit	Crimborg Assault Armor	Crimborg_Assault_Armor
haremgirl	haremgirl	Outfit	Knob Goblin Harem Girl Disguise	Knob_Goblin_Harem_Girl_Disguise
hasc01	hasc01	Ascension	Hardcore Ascension #1	Hardcore
hasc02	hasc02	Ascension	Hardcore Ascension #2	Hardcore
hasc03	hasc03	Ascension	Hardcore Ascension #3	Hardcore
hasc04	hasc04	Ascension	Hardcore Ascension #4	Hardcore
hasc05	hasc05	Ascension	Hardcore Ascension #5	Hardcore
hasc06	hasc06	Ascension	Hardcore Ascension #6	Hardcore
hasc07	hasc07	Ascension	Hardcore Ascension #7	Hardcore
hasc08	hasc08	Ascension	Hardcore Ascension #8	Hardcore
hasc09	hasc09	Ascension	Hardcore Ascension #9	Hardcore
hasc10	hasc10	Ascension	Hardcore Ascension #10	Hardcore
hasc11	hasc11	Ascension	Hardcore Ascension #11	Hardcore
hasc12	hasc12	Ascension	Hardcore Ascension #12	Hardcore

# Like the basic ascension tattoos, there are both zero-padded and non-padded versions of these.
hasc1	hasc1	Ascension	Hardcore Ascension #1	Hardcore
hasc2	hasc2	Ascension	Hardcore Ascension #2	Hardcore
hasc3	hasc3	Ascension	Hardcore Ascension #3	Hardcore
hasc4	hasc4	Ascension	Hardcore Ascension #4	Hardcore
hasc5	hasc5	Ascension	Hardcore Ascension #5	Hardcore
hasc6	hasc6	Ascension	Hardcore Ascension #6	Hardcore
hasc7	hasc7	Ascension	Hardcore Ascension #7	Hardcore
hasc8	hasc8	Ascension	Hardcore Ascension #8	Hardcore
hasc9	hasc9	Ascension	Hardcore Ascension #9	Hardcore

hippy	hippy	Outfit	Filthy Hippy Disguise	Filthy_Hippy_Disguise
hobotat1	hobotat1	Other	Hobo Tattoo	Hobo_Tattoo
hobotat10	hobotat10	Other	Hobo Tattoo	Hobo_Tattoo
hobotat11	hobotat11	Other	Hobo Tattoo	Hobo_Tattoo
hobotat12	hobotat12	Other	Hobo Tattoo	Hobo_Tattoo
hobotat13	hobotat13	Other	Hobo Tattoo	Hobo_Tattoo
hobotat14	hobotat14	Other	Hobo Tattoo	Hobo_Tattoo
hobotat15	hobotat15	Other	Hobo Tattoo	Hobo_Tattoo
hobotat16	hobotat16	Other	Hobo Tattoo	Hobo_Tattoo
hobotat17	hobotat17	Other	Hobo Tattoo	Hobo_Tattoo
hobotat18	hobotat18	Other	Hobo Tattoo	Hobo_Tattoo
hobotat19	hobotat19	Other	Hobo Tattoo	Hobo_Tattoo
hobotat2	hobotat2	Other	Hobo Tattoo	Hobo_Tattoo
hobotat3	hobotat3	Other	Hobo Tattoo	Hobo_Tattoo
hobotat4	hobotat4	Other	Hobo Tattoo	Hobo_Tattoo
hobotat5	hobotat5	Other	Hobo Tattoo	Hobo_Tattoo
hobotat6	hobotat6	Other	Hobo Tattoo	Hobo_Tattoo
hobotat7	hobotat7	Other	Hobo Tattoo	Hobo_Tattoo
hobotat8	hobotat8	Other	Hobo Tattoo	Hobo_Tattoo
hobotat9	hobotat9	Other	Hobo Tattoo	Hobo_Tattoo
hodgmantat	hodgmantat	Outfit	Hodgman's Regal Frippery	Hodgman's_Regal_Frippery
honeytat	honeytat	Outfit	Bits o' Honey	Bits_o'_Honey

# Another fixed typo?
hotghostta	hotghostta	Outfit	Ghast Iron Gear	Ghast_Iron_Gear
hotghosttat	hotghosttat	Outfit	Ghast Iron Gear	Ghast_Iron_Gear

hothobotat	hothobotat	Outfit	Pyretic Panhandler Paraphernalia	Pyretic_Panhandler_Paraphernalia
hourtat	hourtat	Outfit	Time Trappings	Time_Trappings
jfishtat	jfishtat	Outfit	Encephalic Ensemble	Encephalic_Ensemble
jokestertat	jokestertat	Outfit	The Jokester's Costume	The_Jokester's_Costume
kgbtat	kgbtat	Item	golden tattoo gun	Golden_tattoo_gun
lltat	lltat	Item	Loathing Legion tattoo needle	Loathing_Legion_tattoo_needle
loathetat	loathetat	Outfit	Clothing of Loathing	Clothing_of_Loathing
lollitat	lollitat	Outfit	Sucker Samurai Suit	Sucker_Samurai_Suit
losertat	losertat	Outfit	Furry Suit	Furry_Suit
ltttat	ltttat	Item	LT&T tattoo kit	LT%26T_tattoo_kit
lunartat	lunartat	Outfit	Luniform	Luniform
margaraxe	margaraxe	Item	BGE temporary tattoo	BGE_temporary_tattoo
martini	martini	Item	martini	Martini
meattat	meattat	Outfit	Bounty-Hunting Rig	Bounty-Hunting_Rig
merctat	merctat	Item	Merc Core challenge coin	Merc_Core_challenge_coin
merkgtat	merkgtat	Outfit	Mer-kin Gladiatorial Gear	Mer-kin_Gladiatorial_Gear
merkintat	merkintat	Outfit	Crappy Mer-kin Disguise	Crappy_Mer-kin_Disguise
merkstat	merkstat	Outfit	Mer-kin Scholar's Vestments	Mer-kin_Scholar's_Vestments
meteortat	meteortat	Outfit	Meteor Masquerade	Meteor_Masquerade
mimetat	mimetat	Outfit	Miming Regalia	Miming_Regalia
miner	miner	Outfit	Mining Gear	Mining_Gear
minifigtat	minifigtat	Outfit	BRICKOfig Outfit	BRICKOfig_Outfit
necbrotat	necbrotat	Outfit	Dark Bro's Vestments	Dark_Bro's_Vestments
newyou	newyou	Other	New-You Club	New-You_Club_Membership_Form#Notes
ninja	ninja	Outfit	Hot and Cold Running Ninja Suit	Hot_and_Cold_Running_Ninja_Suit
nobeer	nobeer	Ascension	Teetotaler	Teetotaler
nofood	nofood	Ascension	Boozetafarian	Boozetafarian
nosealtat	nosealtat	Outfit	Frigid Northlands Garb	Frigid_Northlands_Garb
oiltat	oiltat	Outfit	Oil Rig	Oil_Rig
orbisontat	orbisontat	Outfit	Roy Orbison Disguise	Roy_Orbison_Disguise
oxy	oxy	Ascension	Oxygenarian	Oxygenarian
palette	palette	Other	Pretentious Artist Quest	Pretentious_Artist_Quest
palmtat	palmtat	Outfit	Palmist Paraphernalia	Palmist_Paraphernalia
partytat	partytat	Item	Party Tattoo™ gift certificate	Party_Tattoo™_gift_certificate
pigirontat	pigirontat	Outfit	Pork Elf Prizes	Pork_Elf_Prizes
pirate	pirate	Outfit	Swashbuckling Getup	Swashbuckling_Getup
planetat	planetat	Item	airplane tattoo	Airplane_tattoo
platytat	platytat	Custom	Your custom tattoo!	Tattoos#Custom_Tattoos
plexitat	plexitat	Outfit	Plexiglass Polyhedron Tattoo	Plexiglass_Polyhedron_Tattoo
polytat	polytat	Outfit	Synthetic Suit	Synthetic_Suit
porctat	porctat	Outfit	Ceramic Suit	Ceramic_Suit
potterytat	potterytat	Outfit	Smoked Pottery	Smoked_Pottery
pressietat	pressietat	Outfit	Crimbo Duds	Crimbo_Duds
protontat	protontat	Item	psychokinetic energy blob	Psychokinetic_energy_blob
psychictat	psychictat	Outfit	Psychic Enpsemble	Psychic_Enpsemble
rad_tat	rad_tat	Outfit	Pinata Provisions	Pinata_Provisions
radiotat	radiotat	Outfit	Radio Free Regalia	Radio_Free_Regalia
radminetat	radminetat	Outfit	High-Radiation Mining Gear	High-Radiation_Mining_Gear
reapertat	reapertat	Outfit	Grimy Reaper's Vestments	Grimy_Reaper's_Vestments
recyctat	recyctat	Outfit	Glad Bag Glad Rags	Glad_Bag_Glad_Rags
reintat	reintat	Outfit	Cheerful Reindeer Suit	Cheerful_Reindeer_Suit
revclass1	revclass1	Outfit	Legendary Regalia of the Seal Crusher	Legendary_Regalia_of_the_Seal_Crusher
revclass2	revclass2	Outfit	Legendary Regalia of the Chelonian Overlord	Legendary_Regalia_of_the_Chelonian_Overlord
revclass3	revclass3	Outfit	Legendary Regalia of the Pasta Master	Legendary_Regalia_of_the_Pasta_Master
revclass4	revclass4	Outfit	Legendary Regalia of the Saucemaestro	Legendary_Regalia_of_the_Saucemaestro
revclass5	revclass5	Outfit	Legendary Regalia of the Groovelord	Legendary_Regalia_of_the_Groovelord
revclass6	revclass6	Outfit	Legendary Regalia of the Master Squeezeboxer	Legendary_Regalia_of_the_Master_Squeezeboxer
rock_tat	rock_tat	Outfit	Floaty Fatigues	Floaty_Fatigues
sailortat	sailortat	Outfit	Seafaring Suit	Seafaring_Suit
saladtat	saladtat	Item	delicious salad	Delicious_salad
sbeasttat	sbeasttat	Outfit	Space Beast Furs	Space_Beast_Furs
sbreaktat	sbreaktat	Item	Spring Break Beach tattoo coupon	Spring_Break_Beach_tattoo_coupon
sgtat	sgtat	Item	Spacegate Initiative tattoo unit	Spacegate_Initiative_tattoo_unit
shubtat	shubtat	Outfit	Violent Vestments	Violent_Vestments
skeletat	skeletat	Outfit	Thousandth Birthday Suit	Thousandth_Birthday_Suit
slehobotat	slehobotat	Outfit	Tawdry Tramp Togs	Tawdry_Tramp_Togs
slimetat	slimetat	Outfit	Slimesuit	Slimesuit
smoochtat	smoochtat	Outfit	SMOOCH Army Uniform	SMOOCH_Army_Uniform
snowmantat	snowmantat	Outfit	Snowman Suit	Snowman_Suit
sourcetat	sourcetat	Item	green pill	Green_pill
spantat	spantat	Outfit	Spant Armor	Spant_Armor
spelunktat	spelunktat	Outfit	Spelunker's Gear	Spelunker's_Gear
spohobotat	spohobotat	Outfit	Dire Drifter Duds	Dire_Drifter_Duds
spqktat	spqktat	Outfit	Gladiatorial Glad Rags	Gladiatorial_Glad_Rags
sspd4plunk	sspd4plunk	Other	St. Sneaky Pete's Day	St._Sneaky_Pete's_Day_Tattoo
sspdfi5if	sspdfi5if	Other	St. Sneaky Pete's Day	St._Sneaky_Pete's_Day_Tattoo
sspdfipp3	sspdfipp3	Other	St. Sneaky Pete's Day	St._Sneaky_Pete's_Day_Tattoo
sspdpook2	sspdpook2	Other	St. Sneaky Pete's Day	St._Sneaky_Pete's_Day_Tattoo
sspdtat1	sspdtat1	Other	St. Sneaky Pete's Day	St._Sneaky_Pete's_Day_Tattoo
staintat	staintat	Outfit	Unblemished Uniform	Unblemished_Uniform
startat	startat	Outfit	Star Garb	Star_Garb
stehobotat	stehobotat	Outfit	Vile Vagrant Vestments	Vile_Vagrant_Vestments
swordtat	swordtat	Outfit	8-Bit Finery	8-Bit_Finery
tehclub	tehclub	Custom	Teh Club's custom tattoo (male)	Tattoos#Custom_Tattoos
tehclub_f	tehclub_f	Custom	Teh Club's custom tattoo (female)	Tattoos#Custom_Tattoos
tikidemon	tikidemon	Custom	Ak'gyxoth	Tattoos#Custom_Tattoos
topitat	topitat	Outfit	Topiaria	Topiaria
toweltat	toweltat	Outfit	Terrycloth Tackle	Terrycloth_Tackle
toxictat	toxictat	Outfit	Toxic Togs	Toxic_Togs
tropictat	tropictat	Outfit	Tropical Crimbo Duds	Tropical_Crimbo_Duds
twitchtat	twitchtat	Item	Twitching Television Tattoo	Twitching_Television_Tattoo
vol_tat	vol_tat	Outfit	Primitive Radio Duds	Primitive_Radio_Duds
vwgovtat	vwgovtat	Outfit	Government-Issued Garb	Government-Issued_Garb
vwmuttat	vwmuttat	Outfit	Mutant Parts Apparel	Mutant_Parts_Apparel
vwslimetat	vwslimetat	Outfit	Slime Enslamble	Slime_Enslamble
vwsnaketat	vwsnaketat	Outfit	Snakeskin Suit	Snakeskin_Suit
walmarttat	walmarttat	Item	Wal-Mart tattoo kit	Wal-Mart_tattoo_kit
warfrattat	warfrattat	Outfit	Frat Warrior Fatigues	Frat_Warrior_Fatigues
warhiptat	warhiptat	Outfit	War Hippy Fatigues	War_Hippy_Fatigues
wdbraintat	wdbraintat	Outfit	Dinsey's Exoskeleton	Dinsey's_Exoskeleton
wickertat	wickertat	Outfit	Wicker Wear	Wicker_Wear
wintat	wintat	Custom	KoL Con IV Assassin	Tattoos#Custom_Tattoos
workouttat	workouttat	Outfit	Workoutfit	Workoutfit
wreathtat	wreathtat	Outfit	Arboreal Raiment	Arboreal_Raiment
wroughttat	wroughttat	Outfit	Wrought Wrappings	Wrought_Wrappings
wumpustat	wumpustat	Outfit	Wumpus-Hair Wardrobe	Wumpus-Hair_Wardrobe
xiblaxtat	xiblaxtat	Outfit	Xiblaxian Stealth Suit	Xiblaxian_Stealth_Suit
yogtat	yogtat	Outfit	Hateful Habiliment	Hateful_Habiliment
zaptat	zaptat	Outfit	Crimbot Crimboutfit	Crimbot_Crimboutfit
zompirtat	zompirtat	Outfit	Cursed Zombie Pirate Costume	Cursed_Zombie_Pirate_Costume
